Korean,English
않고,Without
알았지,Okay
아니고,No
여자가,woman
문,Moon
되지,Not
거기서,there
훨씬,By far
아버지가,My father is
망할,damn
뭔지,What is it
손,hand
수술,surgery
듣고,listen
어쩌면,maybe
보세요,Look
생각이,Thought
어느,Which
아마도,maybe
준비,ready
전화,call
뒤에,behind
도대체,hell
너를,you
당신도,You too
것처럼,Like
않으면,Otherwise
말하는,talking
최고의,Best
세,aged
모르는,don't know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Is it
것입니다,will be
있잖아요,You know
되고,become
어쨌든,Anyway
가진,with
이번,This time
뭐하는,What are you doing
후에,After
친구가,friend
신경,nerve
그만해,stop it
누구야,Who is it
당신에게,to you
늘,always
그들을,them
알잖아,You know
누군가,someone
분명히,apparently
생각을,thoughts
존,zone
일단,First of all
가야,Gaya
걱정,worry
보자,Let's see
매일,every day
수는,The number is
아침,morning
말할,to say
모두가,Everyone is
얘기를,talk
봤어요,I saw it
대신,instead of
마치,Like
자넨,You are
했잖아,I told you
둘이,Two
당신과,you and
집으로,home
한다,do
두고,leave
이름을,name
있네,There is
그들의,their
뭔데,What is it
금방,Soon
사는,live
좋아하는,favorite
찾을,find
맘에,Like
결국,Finally
이유가,Reason
필요해요,I need it
중에,Among
그때,then
보는,Seeing
너랑,with you
아이를,child
없잖아,There is no
한다고,Do it
기분,mood
놈이,This guy is
못해,I can’t do it
우리에게,to us
가면,mask
저를,me
잡아,catch
집에서,at home
우리도,We too
기분이,feeling
저희,our
찾고,Looking for
손을,hand
거다,Geoda
어제,yesterday
남자가,man
뭐지,What is it
앞으로,forward
잠깐만요,Wait a minute
자신의,own
애가,Lamentations
이상한,strange
막,Act
먹고,eat
아이,child
언제나,always
여기가,Here is
아들,son
알게,Alge
하세요,Do it
총,Total
스스로,yourself
방법이,method
있던,There were
해봐,Try it
아님,Not
때가,The time is
아니죠,No
했던,did
조용히,quietly
밤에,at night
미친,crazy
머리,head
않습니다,not
잘못,error
고맙습니다,thank you
있어야,Must be
왜냐하면,Because
앉아,sit
아침에,in the morning
죽일,kill
환자,patient
양,Sheep
없죠,No
일어나,wake up
믿을,unbelievable
같네요,Looks like
건가,Gunga
게다가,Plus
알렉스,alex
타고,ride
데,having
들었어,I heard
눈을,eyes
나에게,to me
없었어요,There was no
만나서,meet
진정해,Calm down
이것,this
더이상,No more
보지,pussy
방법을,method
원래,original
솔직히,honestly
좋지,Good
하려고,
빌어먹을,damn
총을,gun
길을,road
누군지,Who is
아니라고,no
자신을,yourself
여길,Yeogil
있지만,but
얼른,Hurry
얘들아,Hey guys
대로,boulevard
만든,made
놈,bastard
조심해,be careful
일에,in days
따라,follow
술,alcohol
정확히,Exactly
충분히,enough
힘을,strength
아저씨,uncle
알겠지,Okay
있었는데,There was
사랑하는,dear
기다리고,waiting
될거야,It will be
살아,Alive
평생,lifetime
아까,earlier
얘야,honey
눈,snow
거기에,there
분명,obviously
말하고,Talking
역시,As expected
저희가,We are
찾아,find
걔가,He's
이럴,Holy
저기요,Hey
너와,you and
될까요,Will it be
천천히,slowly
문제,Problem
수술을,surgery
좋았어,It was good
어디에,where
문을,door
맞지,That's right
어딨어,Where are you
조지,george
아녜요,No
저녁,dinner
마요,Mayo
생각엔,I think it's
만들어,make
적어도,at least
애들,kids
개,dog
잘했어,Well done
그러나,But
주,note
괜찮은,decent
생각은,Thoughts are
위에,above
가끔,Sometimes
있었던,There were
간,Liver
잠시,moment
곳에,where
집을,house
그렇지만,But
그레이,gray
그럼요,Sure
삶을,life
마음에,in my heart
살고,live
들고,carrying
분,minutes
그랬어,It was
차를,car
옆에,next to
아이가,child
이번엔,This time
저게,That's
아빠는,Dad is
괜찮을,It's okay
하자,let's do it
알았는데,I thought it was
생각해요,I think
생각하는,thinking
아니잖아,"No, "
마지막으로,Finally
여자를,woman
죽었어,Dead
멍청한,stupid
훌륭한,great
있었지,There was
정도,degree
베일리,bailey
준비가,ready
남은,remaining
있으니까,Because there is
싫어요,Dislike
입니다,It's
영원히,forever
엄청난,A whopping
정신,spirit
는,is
계세요,Are you there
좋을,good
있었죠,There was
간다,Going
기회를,opportunity
그대로,as is
하나도,Not even one is
멈춰,stop
필요가,need
도와줘,help me
다음에,next time
앞에서,from the front
뭐든,anything
물,water
밖으로,out
오는,coming
그렇다면,Then
미국,usa
하지마,Don't do it
말한,said
앞에,in front
처럼,Like
저한테,to me
거고,Geogo
받아,take
그것도,That too
요즘,these days
믿어,believe me
뒤로,back
놈들이,They are
입고,wearing
보니,Bonnie
속에,inside
잠시만요,Wait a minute
소리야,Soriya
들어봐,listen
자기야,Baby
헤이,hey
에,in
이해가,I understand
옷,clothes
들어가,Go in
아버지는,My father is
않을거야,I won't do it
있소,Yes
자네는,you are
모르겠지만,I don't know but
누구도,no one
입,mouth
어머니,mother
특별한,special
좋겠어,I hope so
준,June
그것은,It's
할게,I will do it
여기는,This is
언니,Sister
환자가,Patient
갈게,I'll go
나야,It's me
제게,to me
하루,per day
단,Only
필,Phil
가세요,Go
끔찍한,terrible
걸로,Girlo
사랑,love
일도,days
아름다운,beautiful
년,year
형,Brother
뭐요,What
저런,like that
별,star
아니다,no
받고,Received
할거야,I will do it
쓸,write
씨발,fuck
돈이,money
그에게,to him
뭔가를,something
마음을,heart
문제는,The problem is
의,of
서둘러,hurry up
없네,No
끝났어,It's over
있을거야,There will be
머리를,head
생각하지,don't think
뭐라고요,What?
힘든,tough
보게,see
가게,shop
말해봐,tell me
밥,Bob
상황이,situation
줘요,Give me
만큼,As many as
했지만,but
같은데요,I think it’s
이름,name
엄마를,mom
전화를,dial
어쩔,What to do
있니,Is there
번째,th
할까,Should I do it
얘길,story
찾는,Looking for
선생님이,teacher
진짜로,Really
일이에요,It's work
건지,Guernsey
가족을,family
중이야,I'm in the middle of
믿지,believe it
닥쳐,Shut up
여기로,here
저건,That's
주고,give
멀리,far
어이,Hey
거짓말,lie
약,About
잭,jack
사실은,Actually
받을,receive
그러고,Then
겁니까,Are you saying ?
먹을,eat
그치만,But
너에게,to you
들었어요,I heard
오빠,Oppa
오고,Coming
있을까,Is it
어린,young
통해,Via
아닌데,It's not
조금만,Just a little
맞는,fit
차에,in car
여자는,for women
보러,to see
손에,in hand
모르지,I don't know
가까이,close
테니,Teni
되죠,Okay
점점,Getting
잔,cup
이야기를,story
물론이죠,Of course
학교,school
주는,giving
아가씨,miss
먹어,Eat
크게,Large
이유는,Reason
군,military
모두들,everyone
죽인,killed
셋,three
알죠,I know
기억,memory
경찰,police
제이,Jay
그래야,So
목숨을,lives
있을까요,Is there
아니지만,but not
했다,did
딸,daughter
많아,There are many
떨어져,off
사람이야,It's a person
다시는,Never again
거잖아,That's right
애들이,kids
애를,Aye
말이다,
없다는,
만들,make
할게요,I will do it
아기,baby
영화,movie
가족,family
찾았어,Found it
특히,especially
아들을,son
제발요,Please
꿈을,dream
세상을,the world
놈을,bastard
아니었어,It wasn't
마이크,microphone
무엇을,what
만드는,making
얼마,how much
보여요,I see it
사진,Photo
칼,sword
잠시만,Just a moment
병원에,to the hospital
같습니다,Same as
바보,stupid
